name,phone,address,city,state,postal_code,website,email,categories,description,rating,reviews,source_url,google_search_query
The Wash Quarters,(415) 826-7634,985 Valencia St,"San Francisco, CA 94110",N/A,N/A,http://wash-quarters.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,29 Years,https://www.yellowpages.com,https://www.google.com/search?q=The%20Wash%20Quarters%20985%20Valencia%20St%20San%20Francisco%2C%20CA%2094110%20N/A%20N/A
Park Avenue Cleaners,(925) 240-7721,3120 Balfour Rd,"Brentwood, CA 94513",N/A,N/A,https://www.parkavenuecleaners.co/contact-us,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Park%20Avenue%20Cleaners%203120%20Balfour%20Rd%20Brentwood%2C%20CA%2094513%20N/A%20N/A
Hamlin Cleaners,(925) 283-2510,3516 Golden Gate Way,"Lafayette, CA 94549",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,31 Years,https://www.yellowpages.com,https://www.google.com/search?q=Hamlin%20Cleaners%203516%20Golden%20Gate%20Way%20Lafayette%2C%20CA%2094549%20N/A%20N/A
Coinmach Corp.,(559) 292-4100,105 W Dakota Ave,"Clovis, CA 93612",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Coinmach%20Corp.%20105%20W%20Dakota%20Ave%20Clovis%2C%20CA%2093612%20N/A%20N/A
Launderland,(209) 477-6996,7627 Pacific Ave,"Stockton, CA 95207",N/A,N/A,http://www.launderland.com,N/A,"Laundromats, Coin Operated Washers & Dryers","It's clean  it's my favorite laundry mat the girls are good and friendly. I enjoy coming here to do my laundry""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Launderland%207627%20Pacific%20Ave%20Stockton%2C%20CA%2095207%20N/A%20N/A
Motherlode Laundry,(209) 223-3089,599 S State Highway 49,"Jackson, CA 95642",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,22 Years,https://www.yellowpages.com,https://www.google.com/search?q=Motherlode%20Laundry%20599%20S%20State%20Highway%2049%20Jackson%2C%20CA%2095642%20N/A%20N/A
Del Rio Laundromat,(408) 729-1192,1137 Mcginness Ave,"San Jose, CA 95127",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Del%20Rio%20Laundromat%201137%20Mcginness%20Ave%20San%20Jose%2C%20CA%2095127%20N/A%20N/A
LeRoy's Cleaning Center,(415) 775-1718,1347 Sacramento St,"San Francisco, CA 94109",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=LeRoy%27s%20Cleaning%20Center%201347%20Sacramento%20St%20San%20Francisco%2C%20CA%2094109%20N/A%20N/A
Launder Land,(925) 206-4814,1657 A St,"Antioch, CA 94509",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,42 Years,https://www.yellowpages.com,https://www.google.com/search?q=Launder%20Land%201657%20A%20St%20Antioch%2C%20CA%2094509%20N/A%20N/A
Laundry Annex,(760) 934-6791,401 Commerce Cir,"Mammoth Lakes, CA 93546",N/A,N/A,http://laundryannex.com/index.html,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Laundry%20Annex%20401%20Commerce%20Cir%20Mammoth%20Lakes%2C%20CA%2093546%20N/A%20N/A
Judah Clean Center,(415) 566-6888,3950 Judah St,"San Francisco, CA 94122",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Judah%20Clean%20Center%203950%20Judah%20St%20San%20Francisco%2C%20CA%2094122%20N/A%20N/A
Ajd Garment & Dry Cleaning,(415) 355-1388,347 9th St,"San Francisco, CA 94103",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Ajd%20Garment%20%26%20Dry%20Cleaning%20347%209th%20St%20San%20Francisco%2C%20CA%2094103%20N/A%20N/A
Gold Run Laundromat,(530) 271-1085,1263 E Main St,"Grass Valley, CA 95945",N/A,N/A,http://www.goldrun.biz,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Gold%20Run%20Laundromat%201263%20E%20Main%20St%20Grass%20Valley%2C%20CA%2095945%20N/A%20N/A
Linda Laundry,(530) 743-3642,1908 N Beale Rd,"Marysville, CA 95901",N/A,N/A,http://linda-laundry-ca.hub.biz,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Linda%20Laundry%201908%20N%20Beale%20Rd%20Marysville%2C%20CA%2095901%20N/A%20N/A
Launderland,(831) 674-1949,130 S El Camino Real,"Greenfield, CA 93927",N/A,N/A,http://launderland.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,15 Years,https://www.yellowpages.com,https://www.google.com/search?q=Launderland%20130%20S%20El%20Camino%20Real%20Greenfield%2C%20CA%2093927%20N/A%20N/A
Lauder Land,(209) 464-4266,1060 N Wilson Way,"Stockton, CA 95205",N/A,N/A,http://launderland.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Lauder%20Land%201060%20N%20Wilson%20Way%20Stockton%2C%20CA%2095205%20N/A%20N/A
Clark Road Laundromat,(530) 762-0670,5837 Clark Rd,"Paradise, CA 95969",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","Great service.  Friendly people.""",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Clark%20Road%20Laundromat%205837%20Clark%20Rd%20Paradise%2C%20CA%2095969%20N/A%20N/A
Coin Wash,(408) 999-0732,198 Race St,"San Jose, CA 95126",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Coin%20Wash%20198%20Race%20St%20San%20Jose%2C%20CA%2095126%20N/A%20N/A
Bay Coin Laundries,(415) 459-1463,N/A,N/A,N/A,N/A,http://cooking.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries","From Business: A company in San Rafael CA, that specializes in Laundry Equipment, Coin Operated Washers Dryers, Commercial Laundries.",N/A,14 Years,https://www.yellowpages.com,https://www.google.com/search?q=Bay%20Coin%20Laundries%20N/A%20N/A%20N/A%20N/A
Monterey Bay Laundry Co.,(831) 649-1355,511 Lighthouse Ave,"Pacific Grove, CA 93950",N/A,N/A,http://www.montereybaylaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","The only plus to this laundrymat was that it was open 24 hours, although it would make more sense to me that the one on Lighthouse Ave in Monterey, near Cannery row be open 24…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Monterey%20Bay%20Laundry%20Co.%20511%20Lighthouse%20Ave%20Pacific%20Grove%2C%20CA%2093950%20N/A%20N/A
Lucky Coin Laundromat,(323) 235-4981,4900 Compton Ave,"Los Angeles, CA 90011",N/A,N/A,http://laundromat-business.com/locations/california,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Lucky%20Coin%20Laundromat%204900%20Compton%20Ave%20Los%20Angeles%2C%20CA%2090011%20N/A%20N/A
Coin Laundry,(805) 643-7172,363 N Ventura Ave,"Ventura, CA 93001",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Coin%20Laundry%20363%20N%20Ventura%20Ave%20Ventura%2C%20CA%2093001%20N/A%20N/A
Norwalk Cleaners,(562) 921-4880,12535 Alondra Blvd,"Norwalk, CA 90650",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Norwalk%20Cleaners%2012535%20Alondra%20Blvd%20Norwalk%2C%20CA%2090650%20N/A%20N/A
Pacheco Plaza One Hour,(415) 883-4892,446 Ignacio Blvd,"Novato, CA 94949",N/A,N/A,http://pachecoplaza.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,,(1),https://www.yellowpages.com,https://www.google.com/search?q=Pacheco%20Plaza%20One%20Hour%20446%20Ignacio%20Blvd%20Novato%2C%20CA%2094949%20N/A%20N/A
Springwater Coin Laundry,(510) 530-4609,1619 Macarthur Blvd,"Oakland, CA 94602",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Springwater%20Coin%20Laundry%201619%20Macarthur%20Blvd%20Oakland%2C%20CA%2094602%20N/A%20N/A
Sunset Cleaner,(415) 731-1043,1404 9th Ave,"San Francisco, CA 94122",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries","I love the services offered at this shop. They make my life easy! I would highly recommend this shop to anyone.""",,(2),https://www.yellowpages.com,https://www.google.com/search?q=Sunset%20Cleaner%201404%209th%20Ave%20San%20Francisco%2C%20CA%2094122%20N/A%20N/A
101 Laundromat & Dry Cleaners,(707) 464-9230,503 L St,"Crescent City, CA 95531",N/A,N/A,https://laundromat-near-me.store/org/101-laundromat-dry-cleaners-54199,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,33 Years,https://www.yellowpages.com,https://www.google.com/search?q=101%20Laundromat%20%26%20Dry%20Cleaners%20503%20L%20St%20Crescent%20City%2C%20CA%2095531%20N/A%20N/A
Localcoin Bitcoin ATM - Advantage Laundry,(877) 412-2646,148 S L St,"Livermore, CA 94550",N/A,N/A,https://localcoinatm.com,N/A,"Laundromats, Coin Operated Washers & Dryers",From Business: Bitcoin ATM located in Advantage Laundry . You can buy Bitcoin and other popular cryptocurrency at our ATM with cash. Localcoin is a Toronto-based company whose…,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Localcoin%20Bitcoin%20ATM%20-%20Advantage%20Laundry%20148%20S%20L%20St%20Livermore%2C%20CA%2094550%20N/A%20N/A
Carmel Laundry,(831) 622-9274,3rd Junipero Ave,"Carmel, CA 93923",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers, Commercial Laundries",N/A,N/A,27 Years,https://www.yellowpages.com,https://www.google.com/search?q=Carmel%20Laundry%203rd%20Junipero%20Ave%20Carmel%2C%20CA%2093923%20N/A%20N/A
Fiesta Laundromat,(415) 401-7605,898 S Van Ness Ave,"San Francisco, CA 94110",N/A,N/A,N/A,N/A,"Laundromats, Coin Operated Washers & Dryers","For about 3years now this place used to be the perfact for me to wash late night because i work 2 jobs despite the traffic of ""working ladies"" in and out. BUT.....due to the…",,(1),https://www.yellowpages.com,https://www.google.com/search?q=Fiesta%20Laundromat%20898%20S%20Van%20Ness%20Ave%20San%20Francisco%2C%20CA%2094110%20N/A%20N/A
Lucy's Laundry,(707) 964-1713,124 S Main St,"Fort Bragg, CA 95437",N/A,N/A,http://lucyslaundry.com,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,23 Years,https://www.yellowpages.com,https://www.google.com/search?q=Lucy%27s%20Laundry%20124%20S%20Main%20St%20Fort%20Bragg%2C%20CA%2095437%20N/A%20N/A
Kiely Wash & Dry,(408) 246-9453,443 Kiely Blvd,"San Jose, CA 95117",N/A,N/A,http://wildlifesolutions.com,N/A,"Laundromats, Coin Operated Washers & Dryers",N/A,N/A,N/A,https://www.yellowpages.com,https://www.google.com/search?q=Kiely%20Wash%20%26%20Dry%20443%20Kiely%20Blvd%20San%20Jose%2C%20CA%2095117%20N/A%20N/A
Top Wash Laundromat,(650) 991-1968,6253 Mission St,"Daly City, CA 94014",N/A,N/A,http://top-wash-laundromat.hub.biz,N/A,"Laundromats, Coin Operated Washers & Dryers, Dry Cleaners & Laundries",N/A,N/A,26 Years,https://www.yellowpages.com,https://www.google.com/search?q=Top%20Wash%20Laundromat%206253%20Mission%20St%20Daly%20City%2C%20CA%2094014%20N/A%20N/A
